pre_skeleton_id,post_skeleton_id,weight
3234817,4230749,2
3234817,4241192,12
3234817,4414426,10
3234817,4415241,2
3234817,4444354,2
3234817,4651929,2
3234817,4662285,1
3234817,4919895,8
3234817,4982172,4
3234817,5019924,2
3234817,5051342,8
3234817,5835799,4
3234817,5835815,14
3234817,5836035,4
3234817,5836163,6
3234817,5836181,10
3234817,5836197,2
3234817,5836206,4
3234817,5836387,12
3234817,7057894,8
3234817,7196392,18
3234817,7690945,16
3234817,7786053,4
3234817,7802210,4
3234817,7828725,12
3234817,7829784,24
3234817,7838405,10
3234817,7840203,6
3234817,7868195,6
3234817,7891312,12
3234817,7916747,1
3234817,8066411,12
3234817,8066542,6
3234817,8068173,10
3234817,8140109,4
3234817,8245014,8
3234817,8245146,4
3234817,8245513,18
3234817,8245692,2
3234817,8245869,8
3234817,8246081,18
3234817,8246750,10
3234817,8247451,2
3234817,8248631,14
3234817,8252067,4
3234817,8253413,4
3234817,8260011,4
3234817,8274902,16
3234817,8413663,6
3234817,8419602,8
3234817,8427677,18
3234817,8432073,1
3234817,8504660,8
3234817,8509987,12
3234817,8559607,20
3234817,8723397,4
3234817,8792120,8
3234817,8835968,16
3234817,8849621,1
3234817,8850802,2
3234817,8856500,1
3234817,8856647,1
3234817,8891315,20
3234817,8924186,22
3234817,8957325,8
3234817,8978117,14
3234817,8997281,16
3234817,9511772,8
3234817,9525492,12
3234817,9531722,14
3234817,9556700,12
3234817,9609048,6
3234817,9707941,22
3234817,9730873,22
3234817,9741463,6
3234817,9766793,6
3234817,9796812,2
3234817,9809626,16
3234817,9813188,12
3234817,9847388,20
3234817,9852406,1
3234817,9889095,10
3234817,9897223,14
3234817,10056280,4
3234817,10163418,28
3234817,10169396,12
3234817,10259967,18
3234817,10473435,1
3234817,10495502,1
3234817,10498716,1
3234817,10684539,1
3234817,11082626,1
3234817,11279244,2
3234817,11426196,1
3234817,11813287,10
3234817,11959737,1
3234817,12344580,1
3234817,12356314,1
3234817,12357456,1
3234817,12357634,1
3234817,12368218,1
3234817,12558820,1
3234817,12623492,1
3234817,12623882,1
3234817,13589251,4
3234817,13673396,2
3234817,13803032,1
3234817,14414876,1
3234817,14547259,12
3234817,14604028,12
3234817,15617305,16
3234817,15690588,1
3234817,15709409,1
3234817,15709414,1
3234817,15709419,1
3234817,15815869,1
3234817,16040875,2
3234817,16276592,1
3234817,16381920,1
3234817,16625432,20
3234817,16720240,6
3234817,16795524,14
3234817,16795838,20
3234817,16797672,2
3234817,16850888,6
3234817,17068730,6
3234817,17544019,3
3234817,17544106,1
3234817,17667674,1
3234817,17695392,1
3255379,4234009,1
3255379,4598109,1
3272218,8319311,1
3276003,4414184,1
3299214,2506050,4
3299214,2979486,3
3299214,3234817,2
3299214,3299214,2
3299214,3945136,2
3299214,4022539,2
3299214,4128002,2
3299214,4214582,1
3299214,4227831,9
3299214,4228119,1
3299214,4230061,2
3299214,4321891,1
3299214,4381129,2
3299214,4414163,4
3299214,4414184,4
3299214,4598109,70
3299214,5480553,5
